# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Jan 15 17:15:18 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 9.69897 0.4500000179 2.1822809362    0.450 -1.616  3.5356  4.801    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.810 13.424 12.071 10.620 9.508 8.246 7.008 6.363 6.121
0.01471 0.00000 9.69897 0.5000000000 2.2374541529    0.500 -1.459  3.5506  4.751    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.6e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.418 12.801 11.460 10.036 8.979 7.814 6.655 5.999 5.769
0.01471 0.00000 9.69897 0.5254464746 2.2622320726    0.525 -1.372  3.5607  4.725    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.2e-15      0.00 7.165e-01 2.690e-01 2.605e-03 7.028e-04 6.375e-03 -1.000 1.450e-02 8.200 12.453 11.107 9.694 8.670 7.572 6.463 5.800 5.578
0.01471 0.00000 9.69897 0.5500000119 2.2836582633    0.550 -1.291  3.5700  4.701    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.87e-15      0.00 7.224e-01 2.634e-01 2.554e-03 6.891e-04 6.250e-03 -1.000 1.421e-02 7.997 12.140 10.785 9.381 8.383 7.351 6.287 5.617 5.404
0.01471 0.00000 9.69897 0.6000000238 2.3211213258    0.600 -1.123  3.5939  4.667    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.66e-15      0.00 7.241e-01 2.617e-01 2.539e-03 6.853e-04 6.217e-03 -1.000 1.418e-02 7.578 11.468 10.085 8.714 7.775 6.900 5.931 5.243 5.063
0.01471 0.00000 9.69897 0.6499999762 2.3520353107    0.650 -0.954  3.6227  4.648    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.21e-15      0.00 7.258e-01 2.601e-01 2.526e-03 6.818e-04 6.185e-03 -1.000 1.410e-02 7.156 10.749 9.330 8.041 7.170 6.452 5.574 4.884 4.749
0.01471 0.00000 9.69897 0.7000000477 2.3779267258    0.700 -0.792  3.6521  4.635    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-14      0.00 7.274e-01 2.586e-01 2.514e-03 6.785e-04 6.156e-03 -1.000 1.397e-02 6.749 9.849 8.534 7.375 6.597 6.028 5.245 4.597 4.499
0.01471 0.00000 9.69897 0.7274598479 2.3904178756    0.727 -0.705  3.6681  4.629    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-14      0.00 7.284e-01 2.577e-01 2.488e-03 6.759e-04 6.138e-03 -1.000 1.393e-02 6.532 9.263 8.104 7.027 6.313 5.800 5.074 4.474 4.388
0.01471 0.00000 9.69897 0.7500000000 2.3998889087    0.750 -0.635  3.6808  4.623    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-14      0.00 7.291e-01 2.570e-01 2.467e-03 6.739e-04 6.125e-03 -1.000 1.393e-02 6.358 8.792 7.776 6.761 6.098 5.619 4.940 4.384 4.304
0.01471 0.00000 9.69897 0.7897556424 2.4150882478    0.790 -0.520  3.6983  4.600    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-14      0.00 7.310e-01 2.551e-01 2.452e-03 6.698e-04 6.087e-03 -1.000 1.385e-02 6.070 8.142 7.304 6.367 5.770 5.330 4.710 4.205 4.134
