hostname,mass_msun,age_gyr,feh,chi2,n_bands,dist_pc,st_met_in,age_flag,chi2_flag,reliable
HATS-71,0.3727,0.0406,0.0449,214.1959,10,139.79,0.17,ok,high,False
HD 6061,0.9455,6.0619,-0.151,0.4875,10,67.55,-0.05,ok,ok,True
TOI-3693,0.8636,4.7197,0.2082,34.1878,10,174.8,0.071,ok,high,False
TOI-6651,1.3,3.9944,0.3714,0.5321,10,209.9,0.225,ok,ok,True
TOI-2046,0.9727,10.0,0.0449,39.3912,10,284.12,-0.06,upper_boundary,high,False
K2-281,0.8364,0.0316,0.2408,451.0484,10,464.96,0.22,lower_boundary,high,False
K2-222,0.9182,7.7858,-0.2816,0.3242,10,99.27,-0.315,ok,ok,True
TOI-1468,0.3727,0.1823,-0.0531,1.0956,10,24.71,-0.01,ok,ok,True
K2-221,1.0,0.0316,0.2735,127.6,10,309.17,0.13,lower_boundary,high,False
EPIC 220492298,0.9727,8.4632,0.4041,346.0777,10,597.0,0.28,ok,high,False
TOI-169,1.0273,10.0,0.3714,84.4017,10,407.61,0.24,upper_boundary,high,False
K2-204,1.0273,10.0,0.3388,252.6624,10,541.62,0.21,upper_boundary,high,False
WASP-187,1.5455,2.632,0.1429,6.5853,10,356.03,0.0,ok,ok,True
K2-210,0.8636,0.0344,-0.0857,0.7753,10,176.89,0.0,ok,ok,True
TOI-4406,1.0818,7.1626,0.2082,37.7884,10,260.55,0.1,ok,high,False
K2-386,0.9455,8.4632,0.2082,289.7989,10,421.8,0.074,ok,high,False
K2-150,0.4,0.0861,-0.0531,61.7078,10,102.47,0.09,ok,high,False
K2-212,0.6727,6.5893,0.1429,34.9452,10,107.29,0.03,ok,high,False
K2-215,0.9455,10.0,0.2408,141.1625,10,400.43,0.11,upper_boundary,high,False
WASP-186,1.0818,6.0619,-0.151,22.3244,10,281.43,-0.08,ok,high,False
TOI-277,0.5091,0.0861,-0.1184,0.1825,6,64.86,-0.01,ok,ok,True
TOI-1467,0.5091,0.2546,-0.1837,3.7589,10,37.47,-0.062,ok,ok,True
K2-151,0.4545,0.1201,-0.2163,18.224,10,69.13,-0.19,ok,high,False
K2-387,0.5636,0.0316,-0.0204,247.3566,10,267.44,0.126,lower_boundary,high,False
K2-113,1.0,10.0,0.4041,256.7936,10,618.67,0.27,upper_boundary,high,False
WASP-118,1.3818,3.3805,0.2735,60.1974,10,381.68,0.16,ok,high,False
K2-295,,,,inf,3,232.68,0.14,ok,inf,False
TOI-2236,1.0545,8.4632,0.0449,21.0118,10,346.62,0.119,ok,high,False
TOI-4010,0.8636,6.0619,0.4694,3.0622,10,176.1,0.37,ok,ok,True
GJ 3090,0.5364,0.3008,0.0449,2.3635,10,22.44,-0.06,ok,ok,True
K2-384,0.3182,0.1017,-0.0204,73.1033,10,81.53,0.068,ok,high,False
K2-208,0.9182,0.0316,0.0449,129.8641,10,259.26,-0.064,lower_boundary,high,False
HAT-P-51,0.9455,9.1996,0.4367,160.8963,10,436.41,0.302,ok,high,False
K2-211,0.8636,0.0344,0.0776,115.2027,10,277.32,0.134,ok,high,False
TOI-4515,0.8636,10.0,0.1755,27.8923,10,192.18,0.05,upper_boundary,high,False
HAT-P-53,0.9727,10.0,0.1102,345.2328,10,671.93,0.0,upper_boundary,high,False
TOI-1695,0.5364,0.1982,0.1102,0.8917,10,44.98,0.0,ok,ok,True
TOI-6330,0.4545,0.0522,-0.0531,114.6827,10,142.74,0.08,ok,high,False
TIC 237913194,0.9727,10.0,0.2408,107.9267,10,305.29,0.14,upper_boundary,high,False
TOI-2120,0.2636,0.6373,0.2408,21.2337,6,32.13,0.39,ok,high,False
NGTS-11,0.8364,10.0,0.3061,86.4888,10,188.26,0.22,upper_boundary,high,False
TOI-125,0.8636,6.062,0.0775,0.9919,10,110.15,-0.02,ok,ok,True
WASP-105,1.0,0.0316,0.4041,27.6615,10,216.67,0.28,lower_boundary,high,False
WASP-18,1.2182,1.4678,0.0449,0.9345,10,122.61,0.107,ok,ok,True
WASP-97,1.0273,5.5767,0.2408,1.2158,10,150.5,0.23,ok,ok,True
HIP 8152,0.9455,5.5767,0.0449,0.6591,10,101.39,0.007,ok,ok,True
TOI-2152,1.1091,8.4632,0.4041,1.8585,10,317.15,0.282,ok,ok,True
WASP-76,1.3818,2.861,0.2408,0.7158,10,188.04,0.366,ok,ok,True
WASP-181,0.9455,10.0,0.1755,155.3698,10,425.44,0.09,upper_boundary,high,False
HAT-P-60,1.4091,3.11,0.1102,1.3823,10,227.25,0.037,ok,ok,True
TOI-849,0.8909,10.0,0.3061,60.4755,10,224.24,0.19,upper_boundary,high,False
WASP-71,1.3273,3.9944,0.2408,8.488,10,350.75,0.15,ok,ok,True
HIP 9618,0.9727,3.6747,0.0776,0.7264,10,67.14,-0.018,ok,ok,True
HAT-P-32,0.9455,10.0,-0.1837,57.5749,10,283.05,-0.16,upper_boundary,high,False
TOI-2328,0.9455,0.0316,0.1755,26.1732,10,230.71,0.09,lower_boundary,high,False
WASP-53,0.8636,5.5767,0.3388,1.1507,10,199.96,0.22,ok,ok,True
TOI-262,0.9455,0.8898,0.2735,0.368,6,44.1,0.26,ok,ok,True
WASP-156,0.8636,5.1303,0.4367,7.1651,10,121.37,0.305,ok,ok,True
HAT-P-29,1.0273,9.1996,0.3388,32.1602,10,314.27,0.21,ok,high,False
TOI-2421,1.0818,8.4632,0.1755,8.4774,10,321.67,0.19,ok,ok,True
WASP-116,1.0,10.0,-0.0204,181.4132,10,517.68,0.0,upper_boundary,high,False
HAT-P-38,0.9455,0.0316,0.1755,111.9495,10,250.35,0.06,lower_boundary,high,False
TOI-2384,0.6727,0.0441,0.2082,89.2551,10,186.81,0.332,ok,high,False
WASP-33,1.5455,0.5863,0.0776,0.9236,10,121.14,0.1,ok,ok,True
WASP-117,1.0545,5.5767,0.0122,0.6686,10,157.48,-0.11,ok,ok,True
HD 15337,0.8636,6.5893,0.1755,1.8778,10,44.81,0.03,ok,ok,True
WASP-77 A,0.9182,9.1996,0.0449,33.4769,10,105.33,-0.1,ok,high,False
TOI-1062,0.9455,0.8898,0.2408,1.0635,10,82.28,0.14,ok,ok,True
HD 15906,0.7818,0.0522,0.0776,0.9186,10,45.69,0.02,ok,ok,True
TOI-1601,1.4364,3.3805,0.4367,1.0257,10,332.2,0.343,ok,ok,True
GPX-1,1.3545,3.9944,0.3714,254.6931,10,665.68,0.35,ok,high,False
TIC 4672985,1.0,9.1996,0.2735,56.7001,10,250.08,0.14,ok,high,False
TOI-3688 A,1.0273,9.1996,0.4041,103.3003,10,395.46,0.262,ok,high,False
TOI-4145 A,0.9182,0.0344,0.2408,69.049,10,203.07,0.168,ok,high,False
WASP-99,1.1909,5.1303,0.1429,0.4517,10,159.86,0.21,ok,ok,True
TOI-2443,0.6182,0.067,-0.249,0.5075,6,23.89,-0.29,ok,ok,True
WASP-72,1.2455,3.9944,-0.151,22.4931,10,415.27,-0.06,ok,high,False
WASP-138,1.0,9.1996,-0.0857,96.3709,10,401.7,-0.09,ok,high,False
TOI-1201,0.4273,0.0316,0.0122,50.5591,10,37.64,0.05,lower_boundary,high,False
TOI-558,1.1636,5.1303,0.0449,51.8929,10,401.43,-0.004,ok,high,False
HD 17156,1.2455,3.6747,0.3061,0.3475,10,77.31,0.208,ok,ok,True
TOI-4641,1.4364,1.7343,0.0122,0.7492,10,87.36,-0.09,ok,ok,True
HAT-P-52,0.9182,0.0316,0.4041,300.9823,10,359.24,0.28,lower_boundary,high,False
HR 858,1.1636,2.632,-0.0204,0.8737,10,31.68,0.025,ok,ok,True
TOI-1736,1.0273,9.1996,0.2082,2.0677,10,87.98,0.148,ok,ok,True
WASP-50,0.8909,0.0344,-0.0204,21.3453,10,181.27,-0.12,ok,high,False
TOI-4184,0.1545,0.0728,-0.3796,151.5275,10,68.95,-0.27,ok,high,False
TOI-2345,0.7273,0.0567,0.0122,0.735,10,81.21,-0.1,ok,ok,True
HD 18599,0.8091,0.0441,-0.0204,1.6458,10,38.62,0.0,ok,ok,True
LHS 1478,0.2636,0.4962,-0.249,6.4819,6,18.21,-0.13,ok,ok,True
TOI-1648,0.8364,6.5893,0.3061,0.6643,10,69.65,0.2,ok,ok,True
LTT 1445 A,0.2091,0.1017,-0.4449,0.6735,6,6.86,-0.34,ok,ok,True
TOI-1669,0.9455,9.1996,0.2082,1.1133,10,111.55,0.274,ok,ok,True
TOI-6041,0.9182,1.8852,0.1102,0.4721,10,72.5,0.104,ok,ok,True
NGTS-20,1.3,3.9944,0.2408,15.132,10,362.33,0.15,ok,high,False
TOI-6303,0.6455,0.0728,0.3061,79.7095,10,150.79,0.44,ok,high,False
TOI-559,1.0273,7.1626,0.0776,0.5448,10,231.51,-0.069,ok,ok,True
WASP-11,0.8636,0.0316,0.1429,10.7899,10,129.14,0.0,lower_boundary,high,False
TOI-5678,0.8909,8.4632,0.0449,0.5997,10,163.4,0.0,ok,ok,True
TOI-257,1.3818,3.11,0.2408,2.6968,10,76.78,0.175,ok,ok,True
TOI-3261,0.8364,10.0,0.2082,1.9556,10,298.25,0.138,upper_boundary,ok,False
HAT-P-25,0.9727,0.0316,0.4367,185.6281,10,299.69,0.294,lower_boundary,high,False
HD 20329,0.9455,9.1996,0.0776,1.8388,10,63.75,-0.07,ok,ok,True
TOI-406,0.3182,0.067,-0.1184,0.8961,6,30.91,-0.02,ok,ok,True
WASP-139,0.8636,8.4632,0.3061,39.6342,10,212.16,0.2,ok,high,False
TOI-2407,0.5364,0.0861,0.0776,49.2928,10,91.89,0.21,ok,high,False
TOI-6109,0.9455,7.1626,0.2082,0.2896,10,147.79,0.0895,ok,ok,True
TOI-3682,1.0818,9.1996,0.5347,32.4919,10,390.7,0.416,ok,high,False
TOI-5076,0.8091,8.4632,0.2082,0.7945,10,82.51,0.082,ok,ok,True
TOI-2202,0.8636,0.0344,0.1755,67.9065,10,235.89,0.059,ok,high,False
K2-86,0.7818,0.0316,-0.3143,106.147,10,253.5,-0.35,lower_boundary,high,False
HD 21520,1.0545,2.632,0.1102,0.5605,10,79.37,0.049,ok,ok,True
TOI-6038 A,1.2455,4.3419,0.2408,0.7454,10,177.12,0.124,ok,ok,True
GJ 143,0.7545,2.861,0.1429,0.4461,6,16.33,0.003,ok,ok,True
K2-30,0.8636,0.0316,-0.0531,192.6282,10,328.54,-0.15,lower_boundary,high,False
K2-175,1.0545,9.1996,0.1755,16.6785,10,238.18,0.05,ok,high,False
WASP-22,0.9727,10.0,0.0122,92.4883,10,313.72,-0.05,upper_boundary,high,False
K2-178,0.9182,0.0316,0.1429,59.4741,10,216.01,0.09,lower_boundary,high,False
TOI-908,0.9455,0.0316,-0.0531,0.6288,10,175.24,0.08,lower_boundary,ok,False
BD+20 594,0.9182,9.1996,-0.0531,4.2987,10,176.32,-0.15,ok,ok,True
TOI-2537,0.8091,0.0316,0.1102,60.7183,10,181.42,0.08,lower_boundary,high,False
HD 22946,1.0818,2.861,-0.0531,0.3461,10,62.84,-0.08,ok,ok,True
K2-77,0.8091,0.0406,0.1429,22.5012,10,140.64,0.13,ok,high,False
K2-177,1.0818,9.1996,0.5347,84.6159,10,489.47,0.41,ok,high,False
K2-79,0.9727,9.1996,0.1755,105.2065,10,257.63,0.035,ok,high,False
HD 23472,0.7,0.0522,-0.1837,2.8913,10,39.08,-0.2,ok,ok,True
K2-84,0.9182,0.0316,0.4041,112.796,10,284.43,0.278,lower_boundary,high,False
WASP-119,0.9455,10.0,0.2082,24.162,10,300.96,0.14,upper_boundary,high,False
TOI-6054,1.1364,6.0619,0.0776,3.7309,10,78.58,-0.07,ok,ok,True
TOI-1634,0.4818,0.1543,0.2082,0.6052,10,35.07,0.19,ok,ok,True
TOI-2416,1.0273,10.0,0.4367,178.4817,10,555.54,0.32,upper_boundary,high,False
TIC 279401253,0.9727,10.0,0.2082,44.8036,10,283.93,0.2,upper_boundary,high,False
K2-411,0.9727,10.0,0.2735,66.359,10,295.88,0.1415,upper_boundary,high,False
NGTS-16,1.0,10.0,0.4694,377.9311,10,876.82,0.35,upper_boundary,high,False
K2-176,0.9182,0.0316,0.2735,71.561,10,245.95,0.15,lower_boundary,high,False
WASP-98,0.7818,0.0316,-0.3469,181.2421,10,278.77,-0.49,lower_boundary,high,False
K2-179,0.7818,0.0344,-0.0204,112.2142,10,187.58,0.03,ok,high,False
K2-80,0.8909,0.0316,0.2082,120.6709,10,198.39,0.07,lower_boundary,high,False
K2-90,0.6182,0.0316,-0.3469,81.8281,10,133.49,-0.225,lower_boundary,high,False
TOI-5340,1.0818,8.4632,0.1102,148.8062,10,523.76,0.208,ok,high,False
K2-85,0.6727,0.067,0.0449,23.1531,10,96.72,0.14,ok,high,False
K2-111,0.8909,10.0,-0.3143,36.343,10,197.33,-0.46,upper_boundary,high,False
TOI-858 B,1.0,10.0,0.1429,12.6487,10,250.66,0.153,upper_boundary,high,False
K2-173,0.8636,0.0316,-0.1184,79.7804,10,225.61,-0.25,lower_boundary,high,False
WASP-140,0.9455,0.067,0.2408,6.7054,10,116.42,0.12,ok,ok,True
HD 25463,1.1636,3.6747,-0.0857,0.8322,10,45.11,-0.018,ok,ok,True
K2-174,0.7273,1.1428,0.1755,0.8474,10,100.02,0.113,ok,ok,True
HATS-57,0.9455,9.1996,0.4041,95.6682,10,277.02,0.268,ok,high,False
HATS-75,0.6182,0.0792,0.4041,158.5171,10,195.84,0.522,ok,high,False
V1298 Tau,0.9727,9.1996,0.2408,43.7288,10,107.52,0.1,ok,high,False
